Class Name,Created By,Created Date,Last Modified By,Last Modified Date,Type,Purpose,How It's Used
AssetContractQueryHelper,Marc DeBrey,2026-01-30,Liam Jeong,2026-06-27,impl,"Queries AssetContractRelationship and activated Contract records (with COLA override fields) for a set of Asset Ids, working around dynamic-SOQL/sharing limitations on Revenue Cloud objects.",Static method queryAssetContracts() called by other Apex (e.g. COLA renewal pricing logic) needing per-Asset Contract COLA override data; without sharing class.
AssetContractQueryHelperTest,Marc DeBrey,2026-06-10,Liam Jeong,2026-06-27,test,Unit tests for AssetContractQueryHelper covering the live query guard/empty branches and the pure buildResults/collectContractIds seams using in-memory ACR rows (since ACR cannot be inserted in tests).,"@isTest class; run by the Apex test runner, no callers."
AssetMigrationQueueClearHandler,Marc DeBrey,2026-04-26,Marc DeBrey,2026-04-26,impl,"Defensive handler that, on new Assets tied to migration-created Contracts, clears In_Rerun_Queue__c on the corresponding Migration_Run_Detail__c rows for activated Orders' Quotes.",Static method handleAfterInsert(Set<Id> assetIds) called from an AssetMigrationQueueClearTrigger (after insert) as defense-in-depth alongside a batch's per-Quote auto-clear.
AssetMigrationQueueClearHandlerTest,Marc DeBrey,2026-04-26,Marc DeBrey,2026-04-26,test,Unit tests for AssetMigrationQueueClearHandler covering null/empty input no-ops and unrelated-record preservation.,"@IsTest class; run by the Apex test runner, no callers."
AssetNetUnitPrice,Liam Jeong,2026-07-11,Liam Jeong,2026-07-11,impl,"Shared helper that recovers a source Asset's per-unit net price by dividing the extended Asset.Price total by its Quantity, since Asset.Price stores the line-extended total in this org.",Static method perUnit() called by AmendNetCarryPrehook and COLAUpliftPrehook to derive prior per-unit net from QuoteAction.SourceAsset for renewal/amend pricing.
AssetNetUnitPriceTest,Liam Jeong,2026-07-11,Liam Jeong,2026-07-11,test,"Unit tests for AssetNetUnitPrice.perUnit covering multi-quantity division, qty-1/null/zero/negative no-op handling, and null-total/rounding behavior.","@IsTest class; run by the Apex test runner, no callers."
AssetRateOverrideConsolidationService,Nir Kailash,2026-06-24,Liam Jeong,2026-07-07,impl,"Step 12 of the order-to-asset pipeline: before assetization, aligns OrderItem NetUnitPrice/UnitPrice to the commercial net (TotalPrice/Quantity) for lines carrying partner or manual discount stacks so RCA does not copy multi-adjustment discount stacks onto the resulting Asset.","Invoked via the @InvocableMethod prepareForAssetization (Flow-callable, label 'Prepare Order for Asset Override Consolidation') from the async record-triggered Fortra_Assetize_Order flow immediately before createOrUpdateAssetFromOrder; also callable directly as prepareOrderForAssetization(orderId) from Apex."
AssetRateOverrideConsolidationTest,Nir Kailash,2026-06-24,Liam Jeong,2026-07-07,test,Unit test for AssetRateOverrideConsolidationService.,"Run via Salesforce test execution (@IsTest); exercises hasPartnerOrManualDiscount, resolveCommercialUnitForAssetization, and the bulk patch/invocable methods including a SOQL-budget assertion."
AttributeLoadingBatch,Marc DeBrey,2026-03-02,Marc DeBrey,2026-03-03,impl,"Database.Batchable class that bulk-creates QuoteLineItemAttribute (QLIA) records from parsed CSV attribute data, matching QLIs by Legacy_Id__c and resolving AttributeDefinition/AttributePicklistValue lookups, with duplicate detection for idempotent re-runs.",Instantiated with pre-parsed maps and executed via Database.executeBatch(...) (likely triggered from an admin migration LWC/Apex controller alongside AttributeLoadingService); finish() writes a Migration_Run_Log__c and emails the initiating user.
AttributeLoadingBatchTest,Marc DeBrey,2026-03-02,Marc DeBrey,2026-03-03,test,Unit test for AttributeLoadingBatch.,"Run via Salesforce test execution (@IsTest); builds CSV-derived maps via AttributeLoadingService, runs the batch with Database.executeBatch, and asserts job completion and Migration_Run_Log__c creation."
AttributeLoadingService,Marc DeBrey,2026-03-02,Marc DeBrey,2026-03-03,impl,"Service class that parses CSV attribute-loading files (Legacy_Id__c keyed rows), resolves AttributeDefinition and AttributePicklistValue lookups, and produces a pre-execution AttributePreview (row/attribute counts, warnings, errors) for the attribute-loading migration UI.",Called from an LWC/Aura controller via @AuraEnabled-exposed preview flow (previewLoad) and from AttributeLoadingBatch's constructor via buildAttrDefMap/buildPicklistValueMap to build the lookup maps passed into the batch.
AttributeLoadingServiceTest,Marc DeBrey,2026-03-02,Marc DeBrey,2026-03-03,test,Unit test for AttributeLoadingService.,"Run via Salesforce test execution (@IsTest); covers CSV line parsing, attribute map building, lookup resolution, and previewLoad validation/warning paths."
AttributeVolumeCalculator,Liam Jeong,2026-07-08,Liam Jeong,2026-07-10,impl,"Pure, stateless helper library holding attribute-volume tier-pricing math (composite-key tier lookup with currency scoping, volume-range matching) and Context API node-shaping logic (matched-tier and reset-to-list node updates, waterfall explainer text) extracted from AttributeVolumePricingPrehook so it is independently unit-testable.",Called exclusively by AttributeVolumePricingPrehook (and its delegating @TestVisible wrapper methods) as the pure computation layer within the Revenue Cloud pricing prehook pipeline; performs no SOQL/DML/context calls itself.
AttributeVolumeCalculatorTest,Liam Jeong,2026-07-08,Liam Jeong,2026-07-10,test,Unit test for AttributeVolumeCalculator.,"Run via Salesforce test execution (@isTest); exercises tier-map building, currency-scoped lookup (SC-3384), boundary/range matching, node-update shaping per price mode, reset-node payloads, explainer text, and tag-extraction helpers with in-memory fixtures (no SOQL/DML)."
AttributeVolumePricingPrehook,Marc DeBrey,2026-01-29,Liam Jeong,2026-07-09,impl,"Revenue Cloud pricing hook that applies attribute- and volume-based tier pricing to quote/order line items by matching product attributes against Attribute_Tier_Pricing_Storage__c records (bulk two-pass pattern) and writing Base_Price__c/Attribute_Price_Mode__c/Attribute_Multiplier_Pct__c to the pricing context, resetting to list price when no volume or tier match is found.",Registered as a Vlocity/RLM pricing prehook implementing RevSignaling.SignalingApexProcessor; its execute(RevSignaling.TransactionRequest) method is invoked automatically by the Revenue Cloud pricing procedure/orchestration engine during quote/order pricing.
AttributeVolumePricingPrehookTest,Marc DeBrey,2026-01-29,Liam Jeong,2026-07-09,test,Unit test for AttributeVolumePricingPrehook.,"Run via Salesforce test execution (@IsTest); exercises the hook's delegating wrapper methods (tier map build, lookup, node update, reset, explainer) and the Pass-1/Pass-2 buildItemNodeUpdates orchestration using inserted Attribute_Tier_Pricing_Storage__c test data and hand-built context fixtures, since the live execute() path requires a real pricing context."
AutoHeadlessUserDiscHandler1754336372522,Joe Martinez,2025-11-21,Joe Martinez,2025-11-21,impl,Experience Cloud headless registration/login user-discovery handler that resolves a user identity from a verified email or SMS loginHint for passwordless/headless authentication flows.,Implements Auth.HeadlessUserDiscoveryHandler and is invoked automatically by Salesforce's Headless Identity/Registration API (configured as the org's headless user discovery Apex class) during email/SMS-based login/verification flows; not called directly by other Apex.
AutomateDefaultPointsBuilder,Ben Kozlowski,2026-05-22,Ben Kozlowski,2026-05-22,impl,Builds the default Automate licensing 'points' code (fixed 'S1') used as a fallback tier when no specific product/tier rule applies.,"Instantiated and invoked via its inherited build(context) method (ILkgAutomatePointsBuilder interface) wherever a default Automate points calculation is needed, e.g. from a factory/service that selects among AutomatePointsBuilderBase subclasses."
AutomateDefaultPointsBuilderTest,Ben Kozlowski,2026-05-22,Ben Kozlowski,2026-05-22,test,Unit test for AutomateDefaultPointsBuilder.,Run via Salesforce test execution (@isTest); verifies build() returns 'S1' regardless of the context.isGte11 flag.
AutomatePointsBuilderBase,Ben Kozlowski,2026-05-22,Ben Kozlowski,2026-05-22,impl,"Abstract base class implementing the ILkgAutomatePointsBuilder points-string assembly algorithm (populate a letter-keyed points map, concatenate into a code string, append a version-tier suffix when applicable) shared by all Automate licensing points-builder subclasses.","Extended by concrete builder classes (e.g. AutomateDefaultPointsBuilder, AutomateTierALegacyPointsBuilder) which implement populatePointsMap; consumers call the inherited build(context) method."
AutomatePointsBuilderContext,Ben Kozlowski,2026-05-22,Ben Kozlowski,2026-05-22,impl,"Simple data-transfer/context object carrying product code, tier, release, and Automate action/bot/studio counts used as input to the points-builder classes.",Constructed by callers (e.g. a points-calculation service or its tests) and passed into build(context) on an ILkgAutomatePointsBuilder implementation such as AutomatePointsBuilderBase subclasses.
AutomateTierALegacyPointsBuilder,Ben Kozlowski,2026-05-22,Ben Kozlowski,2026-05-22,impl,"Builds the legacy Tier-A Automate licensing points code, combining fixed base points for several letter categories with variable M/N/P action counts supplied via context.","Instantiated and invoked via its inherited build(context) method (ILkgAutomatePointsBuilder interface), selected by a factory/service when the legacy Tier-A Automate points calculation applies."
AutomateTierALegacyPointsBuilderTest,Ben Kozlowski,2026-05-22,Ben Kozlowski,2026-05-22,test,"Unit test for AutomateTierALegacyPointsBuilder, verifying it builds the correct license 'points' string for legacy (pre-11) Automate Tier A products.",Test class run by the Apex test runner (@isTest); exercises AutomateTierALegacyPointsBuilder.build() directly.
AutomateTierAPointsBuilder,Ben Kozlowski,2026-05-22,Ben Kozlowski,2026-05-22,impl,"Builds the license-key 'points' map (feature/limit codes like S,K,L,Q,T,M,N,P with computed values) for Automate Tier A products (version >= 11), used to generate hardware/software license keys.",Instantiated by LkgAutomatePointsBuilderFactory (keyed by 'AUT_A_GTE11') as part of the LKG (license key generation) pipeline invoked via LkgMapperAutomate; extends AutomatePointsBuilderBase and implements ILkgAutomatePointsBuilder.build().
AutomateTierAPointsBuilderTest,Ben Kozlowski,2026-05-22,Ben Kozlowski,2026-05-22,test,"Unit test for AutomateTierAPointsBuilder, verifying correct points string generation for Tier A (>=11) including optional version-tier suffix when a release is specified.",Test class run by the Apex test runner (@isTest); exercises AutomateTierAPointsBuilder.build() via the ILkgAutomatePointsBuilder interface.
AutomateTierBLegacyPointsBuilder,Ben Kozlowski,2026-05-22,Ben Kozlowski,2026-05-22,impl,"Builds the license-key 'points' map for Automate Tier B products on legacy (pre-11) versions, supplying fixed feature/limit codes for license key generation.",Instantiated by LkgAutomatePointsBuilderFactory (keyed by 'AUT_B_LT11') within the LKG license-key-generation pipeline; extends AutomatePointsBuilderBase.
AutomateTierBLegacyPointsBuilderTest,Ben Kozlowski,2026-05-22,Ben Kozlowski,2026-05-22,test,"Unit test for AutomateTierBLegacyPointsBuilder, verifying it returns the expected fixed points string for legacy Tier B.",Test class run by the Apex test runner (@isTest); exercises AutomateTierBLegacyPointsBuilder.build() via the ILkgAutomatePointsBuilder interface.
AutomateTierBPointsBuilder,Ben Kozlowski,2026-05-22,Ben Kozlowski,2026-05-22,impl,"Builds the license-key 'points' map for Automate Tier B products (version >= 11), supplying fixed feature/limit codes for license key generation.",Instantiated by LkgAutomatePointsBuilderFactory (keyed by 'AUT_B_GTE11') within the LKG license-key-generation pipeline; extends AutomatePointsBuilderBase.
AutomateTierBPointsBuilderTest,Ben Kozlowski,2026-05-22,Ben Kozlowski,2026-05-22,test,"Unit test for AutomateTierBPointsBuilder, verifying correct points string generation for Tier B (>=11) with and without a version/release suffix.",Test class run by the Apex test runner (@isTest); exercises AutomateTierBPointsBuilder.build() via the ILkgAutomatePointsBuilder interface.
AutomateTierCLegacyPointsBuilder,Ben Kozlowski,2026-05-22,Ben Kozlowski,2026-05-22,impl,Builds the minimal license-key 'points' map for Automate Tier C products on legacy (pre-11) versions.,Instantiated by LkgAutomatePointsBuilderFactory (keyed by 'AUT_C_LT11') within the LKG license-key-generation pipeline; extends AutomatePointsBuilderBase.
AutomateTierCLegacyPointsBuilderTest,Ben Kozlowski,2026-05-22,Ben Kozlowski,2026-05-22,test,"Unit test for AutomateTierCLegacyPointsBuilder, verifying it returns the expected minimal points string ('S1C1') for legacy Tier C.",Test class run by the Apex test runner (@isTest); exercises AutomateTierCLegacyPointsBuilder.build() directly.
AutomateTierCPointsBuilder,Ben Kozlowski,2026-05-22,Ben Kozlowski,2026-05-22,impl,"Builds the license-key 'points' map for Automate Tier C products (version >= 11), supplying fixed feature/limit codes for license key generation.",Instantiated by LkgAutomatePointsBuilderFactory (keyed by 'AUT_C_GTE11') within the LKG license-key-generation pipeline; extends AutomatePointsBuilderBase.
AutomateTierCPointsBuilderTest,Ben Kozlowski,2026-05-22,Ben Kozlowski,2026-05-22,test,"Unit test for AutomateTierCPointsBuilder, verifying correct points string generation for Tier C (>=11) with and without a version/release suffix.",Test class run by the Apex test runner (@isTest); exercises AutomateTierCPointsBuilder.build() directly.
AutomateTierDPointsBuilder,Ben Kozlowski,2026-05-22,Ben Kozlowski,2026-05-22,impl,"Builds the license-key 'points' map for Automate Tier D products, supplying fixed feature/limit codes for license key generation (used for both legacy and >=11 versions).",Instantiated by LkgAutomatePointsBuilderFactory (keyed by both 'AUT_D_GTE11' and 'AUT_D_LT11') within the LKG license-key-generation pipeline; extends AutomatePointsBuilderBase.
AutomateTierDPointsBuilderTest,Ben Kozlowski,2026-05-22,Ben Kozlowski,2026-05-22,test,"Unit test for AutomateTierDPointsBuilder, verifying it returns the same fixed points string regardless of the isGte11 flag, with an optional version-tier suffix.",Test class run by the Apex test runner (@isTest); exercises AutomateTierDPointsBuilder.build() directly.
BackfillAssetHardwareBatch,Marc DeBrey,2026-06-27,Marc DeBrey,2026-06-27,impl,One-time data-fix batch that backfills Asset.Hardware__c for lifecycle-managed Assets whose source OrderItem carries Hardware__c but whose Asset record was left blank by prior assetization logic (traversing OrderItem -> AssetActionSource -> AssetAction -> Asset).,"Implements Database.Batchable<SObject> and Database.Stateful; run manually/ad hoc via Database.executeBatch(new BackfillAssetHardwareBatch(), 200)."
BackfillAssetHardwareBatchTest,Marc DeBrey,2026-06-27,Marc DeBrey,2026-06-27,test,"Unit test for BackfillAssetHardwareBatch covering its mapping, update-building, DML-apply, and batch lifecycle logic.",Unit test for BackfillAssetHardwareBatch.
BaseBrandEmailHandler,Keith Irwin,2026-03-11,Keith Irwin,2026-03-11,impl,"Abstract base class implementing IBrandEmailHandler that provides shared license-key email logic (recipient resolution, template lookup, merge-field building, and sending via EmailService) for all brand/silo-specific handlers.",Extended by brand-specific handler subclasses and instantiated as the default handler by BrandEmailHandlerFactory when no brand-specific class exists.
BaseBrandEmailHandlerTest,Keith Irwin,2026-03-11,Keith Irwin,2026-03-11,test,"Unit test for BaseBrandEmailHandler's shared license-key email logic (recipient building, merge fields, validation, sendEmail) via a lightweight test subclass.",Unit test for BaseBrandEmailHandler.
BpaTierALegacyPointsBuilder,Ben Kozlowski,2026-05-22,Ben Kozlowski,2026-05-22,impl,Builds the legacy Tier A licensing points map/string (fixed feature codes plus dynamic bots/studios/websmcs counts) for Automate license key generation.,Instantiated via Type.forName by LkgAutomatePointsBuilderFactory as part of license key points-string generation for the Automate product's Tier A legacy licensing.
BpaTierALegacyPointsBuilderTest,Ben Kozlowski,2026-05-22,Ben Kozlowski,2026-05-22,test,Unit test verifying BpaTierALegacyPointsBuilder produces the expected points string from a given AutomatePointsBuilderContext.,Unit test for BpaTierALegacyPointsBuilder.
BpaTierAPointsBuilder,Ben Kozlowski,2026-05-22,Ben Kozlowski,2026-05-22,impl,"Builds the current (non-legacy) Tier A licensing points map/string, including a T-code that incorporates context.TActions and version tier when release is set, for Automate license key generation.",Instantiated via Type.forName by LkgAutomatePointsBuilderFactory as part of license key points-string generation for the Automate product's Tier A licensing.
BpaTierAPointsBuilderTest,Ben Kozlowski,2026-05-22,Ben Kozlowski,2026-05-22,test,"Unit test verifying BpaTierAPointsBuilder's points string, including the version-tier suffix when a release is present in context.",Unit test for BpaTierAPointsBuilder.
BpaTierCLegacyPointsBuilder,Ben Kozlowski,2026-05-22,Ben Kozlowski,2026-05-22,impl,Builds the legacy Tier C licensing points map/string (fixed feature codes plus dynamic bots/studios/websmcs counts) for Automate license key generation.,Instantiated via Type.forName by LkgAutomatePointsBuilderFactory as part of license key points-string generation for the Automate product's Tier C legacy licensing.
BpaTierCLegacyPointsBuilderTest,Ben Kozlowski,2026-05-22,Ben Kozlowski,2026-05-22,test,Unit test verifying BpaTierCLegacyPointsBuilder produces the expected points string from a given AutomatePointsBuilderContext.,Unit test for BpaTierCLegacyPointsBuilder.
BpaTierCPointsBuilder,Ben Kozlowski,2026-05-22,Ben Kozlowski,2026-05-22,impl,"Builds the current (non-legacy) Tier C licensing points map/string, including a T-code that incorporates context.TActions, for Automate license key generation.",Instantiated via Type.forName by LkgAutomatePointsBuilderFactory as part of license key points-string generation for the Automate product's Tier C licensing.
BpaTierCPointsBuilderTest,Ben Kozlowski,2026-05-22,Ben Kozlowski,2026-05-22,test,"Unit test verifying BpaTierCPointsBuilder's points string, including behavior when a release is present in context.",Unit test for BpaTierCPointsBuilder.
BrandEmailHandlerFactory,Keith Irwin,2026-03-11,Keith Irwin,2026-03-11,impl,"Factory that dynamically instantiates and caches the brand/silo-specific IBrandEmailHandler implementation (via Type.forName on a '[Silo]EmailHandler' naming convention), falling back to the default handler when none exists.",Called by LicenseKeyEmailHandler (e.g. via getHandler(siloName)) to obtain the correct license-key email handler before sending brand-specific license key emails.
BrandEmailHandlerFactoryTest,Keith Irwin,2026-03-11,Keith Irwin,2026-03-11,test,"Unit test for BrandEmailHandlerFactory covering handler resolution, caching, case/whitespace normalization, fallback-to-default behavior, and its BrandHandlerException.",Unit test for BrandEmailHandlerFactory.
BSIInvoicePaymentLinkController,Keith Irwin,2026-03-17,Keith Irwin,2026-03-17,impl,"Visualforce controller that looks up a Workday_Invoice__c by a token embedded in its payment URL, then calls the InterPayments API (via OAuth client-credentials) to obtain a hosted payment link and redirects the user to it for credit-card payment.","Instantiated as the standard controller for the 'pay_invoice' Visualforce page; goToPaymentLink() is invoked as the page action, reading the 'id' query parameter and settings from InterPayment_Settings__mdt custom metadata."
BSIInvoicePaymentLinkControllerTest,Keith Irwin,2026-03-17,Keith Irwin,2026-03-17,test,"Unit test for BSIInvoicePaymentLinkController, covering successful payment-link redirect, bad auth, bad API response, missing id, and invalid/unmatched id scenarios via mocked HTTP callouts.",Test class run by the Apex test runner (@isTest); sets up Page.pay_invoice with query params and HttpCalloutMock implementations to exercise goToPaymentLink().
BSSOrderInfoRestService,Keith Irwin,2026-05-01,Keith Irwin,2026-06-05,impl,"REST service that, given an Order Number, returns JSON with the order's discount visibility, billing/VAT/contact info, and hardware line-item details (LPAR, serial number, model, processors, etc.).","Exposed as a Salesforce REST resource at '/OrderInfo/*' (@RestResource with @HttpGet doGet()), called externally via GET requests like '/OrderInfo/order/{orderNumber}'."
BSSOrderInfoRestServiceTest,Keith Irwin,2026-05-04,Keith Irwin,2026-06-04,test,"Unit test for BSSOrderInfoRestService, the REST endpoint that returns Order/hardware info to supplement Workday invoices.",Unit test for BSSOrderInfoRestService.
BulkUpdateAccountTeamsBatch,Joe Martinez,2026-02-03,Joe Martinez,2026-02-03,impl,Batch job that drives bulk Account Team updates across a set of Accounts by delegating each scope chunk to BulkUpdateAccountTeamsController's flow-invocation logic and caching aggregated results.,"Implements Database.Batchable<SObject> and Database.Stateful; instantiated/executed by BulkUpdateAccountTeamsController to process large account-team update jobs, with results cached to Cache.Org keyed by job Id for later retrieval."
BulkUpdateAccountTeamsController,Joe Martinez,2026-02-03,Joe Martinez,2026-02-03,impl,"Controller that bulk-assigns/updates Account Team members for a set of Accounts, running synchronously via a Flow subflow for small batches or via an Apex batch job for large sets.","Invoked via @InvocableMethod from a Flow (invokeBulkUpdateAccountTeams) and via @AuraEnabled methods from an LWC/Aura UI (getAccountsWithTeamMemberCount, startBulkUpdateAccountTeams, startBatchUpdateAccountTeams, checkBatchStatus, getResultsFromCache)."
BulkUpdateAccountTeamsControllerTest,Joe Martinez,2026-02-03,Joe Martinez,2026-02-03,test,Unit test for BulkUpdateAccountTeamsController.,"@isTest class run by the Apex test runner; exercises the invocable, Aura-enabled, and batch entry points."
BulkUpdateDatesController,Marc DeBrey,2026-02-01,Marc DeBrey,2026-02-04,impl,Controller for bulk-updating Term-Defined Quote Line Item subscription StartDate/EndDate/SubscriptionTerm (and the Quote header dates) in either date-range or date-plus-term mode.,"Invoked via @AuraEnabled methods (getEligibleQuoteLines, updateQuoteLineDates) from an LWC bulk-date-update UI component on the Quote."
BulkUpdateDatesControllerTest,Marc DeBrey,2026-02-01,Marc DeBrey,2026-02-04,test,Unit test for BulkUpdateDatesController.,@isTest class run by the Apex test runner; exercises eligible-line querying and both date-update modes plus edge cases.
CancelLineCreditCalculator,Liam Jeong,2026-07-08,Liam Jeong,2026-07-10,impl,"Pure (no SOQL/DML/context-API) cancellation-credit arithmetic and RCA context-node-update builder for negative-quantity cancel lines, including asset-net currency-aware resolution and Generate-wins-and-sticks folding.",Called as a static-style utility instance by CancelLineCreditPosthook (and its own test) to compute and shape credit updates for cancellation lines.
CancelLineCreditCalculatorTest,Liam Jeong,2026-07-08,Liam Jeong,2026-07-10,test,Unit test for CancelLineCreditCalculator.,"@isTest class run by the Apex test runner; exercises credit gating/math, node shaping, response parsing, and asset-net resolution seams with in-memory inputs."
CancelLineCreditPosthook,Liam Jeong,2026-06-27,Liam Jeong,2026-07-10,impl,"Revenue Cloud pricing posthook that writes a negative credit (net * quantity) onto cancellation (negative-quantity) Quote/Order lines after pricing, since the engine prices such lines at $0 and the totals are engine-only fields.",Registered as a RevSignaling.SignalingApexProcessor posthook invoked automatically by the Revenue Cloud pricing engine after a Quote/Order reprice; delegates pure math to CancelLineCreditCalculator.
CancelLineCreditPosthookTest,Liam Jeong,2026-06-27,Liam Jeong,2026-07-10,test,Unit test for CancelLineCreditPosthook.,"@isTest class run by the Apex test runner; exercises the hook's delegating seams, context-fetch/submit swallow paths, and asset-net SOQL resolution."
ChangePasswordController,Joe Martinez,2025-11-20,Joe Martinez,2025-11-21,impl,Simple Visualforce/Experience Cloud Site page controller that changes a community/portal user's password via Site.changePassword.,Bound as the controller of a 'Change Password' Visualforce page on an Experience Cloud/Site login flow.
ChangePasswordControllerTest,Joe Martinez,2025-11-20,Joe Martinez,2025-11-21,test,Unit test for ChangePasswordController (Experience Cloud site change-password page controller).,"Test class; SeeAllData test invoked by Apex test runs (IsTest SeeAllData=true), not called by production logic."
ChecklistInitializationService,Marc DeBrey,2026-02-02,Marc DeBrey,2026-02-02,impl,Creates Quote_Checklist_Item__c Operations Checklist records for syncing Quote(s) on an Opportunity from active Operations_Checklist_Config__mdt entries when an Opportunity reaches the Order Processing stage.,Invoked from a Flow via InvocableMethod initializeChecklistForQuote (category Operations Checklist).
ChecklistInitializationServiceTest,Marc DeBrey,2026-02-02,Marc DeBrey,2026-02-02,test,"Unit test for ChecklistInitializationService covering success, already-exists, no-syncing-quote, and no-config-items scenarios.","Test class run by Apex test execution (isTest), not invoked by production code."
ChecklistValidationService,Marc DeBrey,2026-02-02,Marc DeBrey,2026-02-02,impl,Validates whether all Operations Checklist items (Quote_Checklist_Item__c) for a Quote are checked/complete before allowing Quote-to-Order conversion.,"Exposed both as a plain static method (validateChecklistForQuote, for trigger use) and as an InvocableMethod validateChecklistComplete called from a Flow (category Operations Checklist)."
ChecklistValidationServiceTest,Marc DeBrey,2026-02-02,Marc DeBrey,2026-02-02,test,"Unit test for ChecklistValidationService covering complete, incomplete, no-items, and multi-request scenarios.","Test class run by Apex test execution (isTest), not invoked by production code."
COLAUpliftCalculator,Liam Jeong,2026-07-08,Liam Jeong,2026-07-13,impl,"Pure (no SOQL/DML) COLA uplift math and context-update payload builder library: resolves the 3-tier override (Line/Contract/CMDT), computes COLA-adjusted and stamped-maintenance nets, and builds RCA context node-update maps.","Called as a static utility library by COLAUpliftPrehook, COLAUpliftHandler, and their tests wherever COLA pricing/tier logic or context payloads are needed."
COLAUpliftCalculatorParityTest,Liam Jeong,2026-07-10,Liam Jeong,2026-07-10,test,Parity test proving RenewalMaintenancePricingService.computeColaNet and RenewalMaintenanceColaCalculator.computeRenewalMaintenanceColaNet produce identical results to the canonical COLAUpliftCalculator.computeStampedMaintenanceColaNet before consolidating the duplicates.,"@isTest class run by the Apex test runner; pure in-memory QuoteLineItem comparisons, no SOQL/DML."
COLAUpliftCalculatorTest,Liam Jeong,2026-07-08,Liam Jeong,2026-07-13,test,Unit test for COLAUpliftCalculator.,"@isTest class run by the Apex test runner; exercises every pure calculator method (tier resolution, price math, context-update builders) with in-memory inputs."
COLAUpliftHandler,Marc DeBrey,2026-01-30,Liam Jeong,2026-07-13,impl,"QuoteLineItem trigger handler that applies the 3-tier COLA uplift (Line Override > Contract Override > CMDT Lookup) on renewal line insert/update, syncs COLA% to system sources, and defaults MyCAP outyear uplift.","Called from the QuoteLineItem trigger's handleBeforeInsert/handleBeforeUpdate context (legacy pre-Revenue-Cloud path, since superseded for RC by COLAUpliftPrehook)."
